"","X","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","Chinese","French","Mexican","Italian","Indian","Japanese","American"
"2079",40936,"0PM5oFKO29sZmL5efmHxug","Chinese Dumpling House","112-3636 Steeles Avenue E","Markham","ON","L3R 1K9",43.8192973096,-79.3310439721,3.5,124,1,"Restaurants, Chinese","True","False",2,1,"False","u'average'","True","1","False","True",1,"False","u'no'","u'none'","u'casual'","True","False",NA,1,0,0,0,0,0,0
"2080",40977,"-BrMNg4MbpftOUTjOMVp9g","Mint Indian Cuisine","8752 E Shea Blvd, Ste C-11","Scottsdale","AZ","85260",33.583,-111.892905,3.5,152,1,"Restaurants, Vegetarian, Halal, Buffets, Indian","True","True",1,1,"True","u'average'","True","2","False","True",1,"True","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,1,0,0
"2081",40979,"UN_6ebslv5cxdDmZAX3ivQ","Luna Lounge","3057 Las Vegas Blvd","Las Vegas","NV","89109",36.1312191441,-115.1639978704,4,380,1,"Tapas Bars, Restaurants, Bars, Lounges, Hookah Bars, Nightlife","False","True",1,1,"True","u'average'","True","2","False","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2082",40986,"ahGtKEHYxY3igWrTHh7FVQ","Top Marks Cafe","7240 E Main St","Scottsdale","AZ","85251",33.4932738,-111.9249317,5,111,1,"Cafes, Coffee & Tea, Food, Gelato, Ice Cream & Frozen Yogurt, Restaurants, Creperies","True","False",4,1,"True","'quiet'","True","1","True","True",1,"False","'no'","u'none'","'casual'","True","False","True",0,0,0,0,0,0,0
"2083",41022,"svijhRN0hWIHfKb421D1Tg","JOEY Sherway","25 The West Mall, Unit 500","Toronto","ON","M9C 1B8",43.6128782383,-79.5565013587,3.5,120,1,"American (Traditional), Restaurants, Nightlife, Canadian (New), Lounges, Bars","True","True",4,1,"False","u'average'","True","2","True","True",0,"True","'free'","'full_bar'","'casual'","True","False",NA,0,0,0,0,0,0,1
"2084",41072,"OuetgAKs90ce74ojny3nMw","Menya Fuji","3 Finch Avenue E","Toronto","ON","M2N",43.7796937,-79.4150748,3.5,120,0,"Restaurants, Ramen, Japanese","True","False",2,0,"False","u'quiet'","True","2","False","True",1,"True","'free'","'beer_and_wine'","'casual'","True","False",NA,0,0,0,0,0,1,0
"2085",41073,"b7wUWVV01xaa7E0FUNMDiw","DaiLo","503 College Street","Toronto","ON","M6G 1A5",43.655849,-79.4098724,4,212,1,"Chinese, Beer, Wine & Spirits, Restaurants, Asian Fusion, Food","False","True",1,1,"False","u'average'","False","3","True","True",1,"False","'no'","u'full_bar'","'casual'","True","False",NA,1,0,0,0,0,0,0
"2086",41103,"yHYjDPuRtLvhvMpOn5fXOQ","Naked Fish's Sushi & Grill","3945 S Durango Dr, Ste A6","Las Vegas","NV","89147",36.119189,-115.2797301,4.5,576,1,"Restaurants, Japanese, Food, Sushi Bars, Desserts","True","True",2,1,"False","u'average'","True","2","False","True",1,"True","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,1,0
"2087",41153,"ie8F4cL15JQi8cZVY78xRA","Emzy Sushi Bar & Asian Kitchen","550 S Tryon St, Ste 160","Charlotte","NC","28202",35.2245046772,-80.8489883362,3,137,1,"Asian Fusion, Restaurants, Sushi Bars","False","True",2,2,"True","u'average'","True","2","False","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2088",41197,"tovUJgSCxi2JfUtP9eNQcA","Barro's Pizza","15403 W Greenway Rd","Surprise","AZ","85379",33.6235402,-112.3918469,4,161,1,"Italian, Restaurants, Sandwiches, Pizza","True","False",2,1,"False","u'average'","True","2","False","True",1,"True","u'no'","u'beer_and_wine'","u'casual'","True","True","True",0,0,0,1,0,0,0
"2089",41209,"wSAGILK2CFbq5BVZ5D67-A","Adega","2017 E 9th St","Cleveland","OH","44115",41.49989,-81.685944,4,172,1,"Hotels, Event Planning & Services, Mediterranean, Nightlife, Bars, Hotels & Travel, Food, Lounges, Beer, Wine & Spirits, Greek, Breakfast & Brunch, Restaurants","False","True",1,2,"False","'average'","True","3","True","False",2,"False","u'free'","'full_bar'","'dressy'","True","False","True",0,0,0,0,0,0,0
"2090",41212,"x8_NelKV1JY5S5bN7mWJuQ","Frank & Albert's","2400 E Missouri Ave","Phoenix","AZ","85016",33.523241,-112.0233209,3.5,214,1,"Restaurants, Local Flavor, Breakfast & Brunch, American (Traditional)","True","True",3,2,"False","u'average'","True","2","True","False",0,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2091",41213,"ALp--wAIVL4qQfCANn3ffw","Hunt & Gather Cafe","7240 W Azure Dr, Ste 145","Las Vegas","NV","89130",36.2745727,-115.2531,4,124,0,"Restaurants, Pizza, Bars, Cafes, Lounges, Coffee & Tea, Food, Nightlife","True","False",3,1,"True","'average'","True","2","True","True",0,"True","u'free'","u'beer_and_wine'","'casual'","True","True","True",0,0,0,0,0,0,0
"2092",41263,"vT812nRctS62PVxUverayw","Mordeo Boutique Wine Bar","5420 W Spring Mountain Rd, Ste 108","Las Vegas","NV","89146",36.1259171,-115.2152677,5,104,1,"Tapas/Small Plates, Wine Bars, Spanish, American (Traditional), Restaurants, American (New), Nightlife, Bars","False","True",0,1,"False",NA,"False","2","False",NA,1,"False","u'free'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,1
"2093",41278,"g6GXqg-QdDiQGLYMVqNOUw","Hapa Toronto","602 College Street","Toronto","ON","M6G 1B4",43.6552874,-79.414286,3.5,160,1,"Restaurants, Japanese","False","True",NA,1,"False","u'loud'","True","3","True","True",1,"True","u'no'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,1,0
"2094",41298,"TeHB4-F_5Mwg1VE2Uzu0Ag","Buca di Beppo Italian Restaurant","3850 S Las Vegas Blvd","Las Vegas","NV","89109",36.0988702,-115.1759152,3.5,466,1,"Italian, Event Planning & Services, Pizza, Restaurants, Food, Caterers","True","True",3,0,"True","u'average'","True","2","False","False",1,"False","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,1,0,0,0
"2095",41364,"IRd0jvnfJ3tV6AMlYMajzw","Restoran Malaysia","815 Major Mackenzie Drive E","Richmond Hill","ON","L4C 9X2",43.875849,-79.413679,3.5,468,1,"Malaysian, Restaurants","True","False",2,1,"True","u'average'","True","2","False","False",1,"False","u'no'","u'none'","u'casual'","True","False",NA,0,0,0,0,0,0,0
"2096",41415,"b5epWgPoVcXoMJdCCzFMUw","Café Zupas","1935 E Camelback Rd","Phoenix","AZ","85016",33.508736,-112.041489,3.5,339,1,"Restaurants, American (New), Salad, Soup, Sandwiches","True","False",1,1,"True","u'average'","True","1","True","True",1,"False","u'free'","u'none'","u'casual'","True","True","True",0,0,0,0,0,0,1
"2097",41426,"u0KWFEkp2KCaB0ebmvi4Kw","The Office Pub","117 John Street","Toronto","ON","M5V 2E2",43.6482362,-79.3901892,3,121,1,"Beer, Wine & Spirits, Restaurants, Food, Bars, Karaoke, Nightlife, Sports Bars, Gastropubs, Pubs, American (Traditional)","False","True",2,2,"True","'loud'","True","2","True","True",1,"True","'free'","u'full_bar'","'casual'","True","True",NA,0,0,0,0,0,0,1
"2098",41435,"4khsN1eXcWR0YYmROlLEzw","SkyJump Las Vegas","2000 Las Vegas Blvd S","Las Vegas","NV","89104",36.1472468,-115.1560311,4,151,1,"Bars, Amusement Parks, Hotels & Travel, Active Life, Tours, Nightlife, Restaurants, Skydiving","False",NA,NA,2,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,"True",0,0,0,0,0,0,0
"2099",41438,"nMo0ozHO7cqsPaxw_7N6ow","Dim Sum Chinese Restaurant","2920 Central Ave","Charlotte","NC","28205",35.2176073,-80.7946048,3,203,1,"Dim Sum, Restaurants, Chinese","True","False",3,1,"True","u'average'","True","2","False","False",1,"False","u'no'","u'full_bar'","u'casual'","True","False","True",1,0,0,0,0,0,0
"2100",41479,"vBNM4NEBuO66Hk5yO797eA","Lupie's Cafe","2718 Monroe Rd","Charlotte","NC","28205",35.2042561,-80.8087536,4,220,1,"American (Traditional), Restaurants","True","False",2,1,"False","u'average'","True","1","False","True",1,"False","u'no'","'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,1
"2101",41481,"JS8zqTShTYXHvpsWYTaQ6A","Dive Bar & Grill","5147 Butler St","Pittsburgh","PA","15201",40.4796917,-79.9550961,4,130,1,"Dive Bars, American (Traditional), Nightlife, Bars, Restaurants","False","False",2,1,"False","u'average'","True","2","False","True",3,"True","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2102",41491,"XSCYYvstSpCVW8wC7rJT7w","Anntony's Caribbean Cafe","6434 W Sugar Creek Rd","Charlotte","NC","28269",35.3354357,-80.7962394,3.5,119,1,"Restaurants, Chicken Wings, Barbeque, Caribbean, Seafood, Salad","True","False",2,1,"True","'average'","True","1","True","True",1,"True","'free'","u'beer_and_wine'","u'casual'","True","True","True",0,0,0,0,0,0,0
"2103",41497,"IiG1_hV_TyQgLzh2j8Zncg","Cava","1560 Yonge Street","Toronto","ON","M4T 2S9",43.6894573,-79.3950643,4,141,1,"Restaurants, Spanish, Tapas Bars, Tapas/Small Plates","False","True",1,3,"True","u'average'","True","3","True","False",0,"False","u'free'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,0,0
"2104",41535,"I5RoKagQjGYCWgY4_fK_rQ","Russo's Pizza Kitchen","4950 S Rainbow Blvd, Ste 120","Las Vegas","NV","89118",36.0989227228,-115.2424021611,4,183,0,"Restaurants, Italian, Pizza","True","False",2,0,"True","'average'","True","2","False","True",1,"True","'free'","'beer_and_wine'","u'casual'","True","True","True",0,0,0,1,0,0,0
"2105",41536,"aGAeYVf2sBygo2OJJBbuIg","Hi Fi Kitchen & Cocktails","4420 N Saddlebag Trl","Scottsdale","AZ","85251",33.501213,-111.922403,3,236,1,"Restaurants, Nightlife, American (New), Bars, Cocktail Bars, Breakfast & Brunch, American (Traditional)","False","True",1,2,"True","u'loud'","True","2","True","True",1,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"2106",41590,"Z5eukYH32_nFljOTC2DJ0g","Grimaldi's Pizzeria","9595 S Eastern Ave, Ste 100","Las Vegas","NV","89123",36.0154042,-115.1194933,4,712,1,"Pizza, Restaurants","True","True",2,1,"True","u'average'","True","2","True","True",1,"True","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2107",41604,"A5Rkh7UymKm0_Rxm9K2PJw","Yard House","6593 Las Vegas Blvd S","Las Vegas","NV","89119",36.068655,-115.177945,4,1375,1,"Steakhouses, American (Traditional), Restaurants, Vegetarian, American (New), Beer Bar, Cocktail Bars, Seafood, Asian Fusion, Wine Bars, Sports Bars, Nightlife, Bars","True","False",3,1,"False","u'loud'","True","2","True","True",1,"True","u'free'","'full_bar'","'casual'","True","True","True",0,0,0,0,0,0,1
"2108",41606,"PbTh7aX0_yyaXFOXAlhI4A","The Turf Public House","705 N 1st St","Phoenix","AZ","85004",33.4558709,-112.0722832,3.5,177,0,"Restaurants, Nightlife, Pubs, American (New), Bars, Irish","False","True",3,2,"True","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2109",41638,"8R_oemw4rNjJL6sd40O_oQ","Over Easy","4730 E Indian School Rd, Ste 123","Phoenix","AZ","85018",33.495514,-111.979848,3.5,670,1,"Sandwiches, Salad, Breakfast & Brunch, Restaurants","True","False",1,1,"True","u'average'","True","2","False","True",1,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2110",41667,"0ahghcpWQVkm4lEFwx-peA","Habib's Persian Cuisine","2575 S Decatur Blvd","Las Vegas","NV","89102",36.143133,-115.2085074,3.5,182,0,"Nightlife, Bars, Lounges, Persian/Iranian, Restaurants, Desserts, Food, Middle Eastern","True","True",2,1,"True","u'quiet'","True","2","False","True",0,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2111",41669,"aTbz9GdpAf2M5MeAHVNhWw","Noodle King","6820 W Sahara Ave, Ste 7, The Springs Shopping Ctr","Las Vegas","NV","89146",36.1452575,-115.2410657,3.5,118,1,"Noodles, Shanghainese, Szechuan, Chinese, Restaurants","True","True",2,1,"True","u'quiet'","True","1","False","False",1,"True","'free'","'none'","'casual'","True","True","True",1,0,0,0,0,0,0
"2112",41674,"1bXC3NewRsBL1gecvGXA-g","Jackalope Jacks","1936 E 7th St","Charlotte","NC","28204",35.2190900028,-80.8137201145,3.5,154,0,"Sports Bars, Nightlife, Restaurants, Breakfast & Brunch, Burgers, Bars, American (Traditional)","False","False",NA,1,"True","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2113",41704,"vz8HFGsITt6aj-nyXkAEFg","El Encanto","6248 E Cave Creek Rd","Cave Creek","AZ","85331",33.8322125,-111.9455063,3.5,660,1,"Mexican, Restaurants","True","True",2,1,"True","u'average'","True","2","True","True",1,"True","'no'","'full_bar'","'casual'","True","False","True",0,0,1,0,0,0,0
"2114",41739,"_E6j0AVb3lkLBLzvPHInXA","Smashburger","21001 N Tatum Blvd, Ste 34-1140","Phoenix","AZ","85050",33.6759907223,-111.9708819669,3,131,1,"American (Traditional), Salad, Hot Dogs, Restaurants, Burgers, Sandwiches, Chicken Wings","True","False",2,1,"False","u'average'","True","1","True","True",1,"False","'no'","u'none'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2115",41748,"3sEOltqZs1cjRA4Pqkm_AQ","Bar 145 - Avon","35546 Detroit Rd","Avon","OH","44011",41.458028,-82.0108703,3,109,0,"Nightlife, Bars, Cocktail Bars, American (New), Arts & Entertainment, Music Venues, Burgers, Restaurants","True","True",2,1,"False","u'average'","True","2","True","False",1,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"2116",41767,"0uR48n5SYcLE_DLcjONZPg","Jimmy John's","4800 S Maryland Pkwy","Las Vegas","NV","89119",36.1027139921,-115.1361601567,3.5,116,1,"Delis, Food, Fast Food, Food Delivery Services, Sandwiches, Restaurants","True","False",1,1,"True","u'average'","True","1","False","True",1,"False","u'no'","u'none'","'casual'","True","True","True",0,0,0,0,0,0,0
"2117",41803,"aWYWNfHuQJyRwDHaHq8X1w","Tex Tubb's Taco Palace","2009 Atwood Ave","Madison","WI","53704",43.0920977,-89.3547317,3.5,349,1,"Mexican, Tex-Mex, Restaurants","True","False",2,2,"True","u'average'","True","2","False","True",1,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,1,0,0,0,0
"2118",41852,"9KSux4Z2reAQCY9r_7jtmg","Brenda's Kitchen","13200 N 113th Ave, Ste 4","Youngtown","AZ","85363",33.603646,-112.302022,4.5,106,1,"Restaurants, Coffee & Tea, American (Traditional), Food, Breakfast & Brunch","True","False",3,0,NA,"u'average'","True","1","False","True",1,"False","u'no'","u'none'","'casual'","True","False","True",0,0,0,0,0,0,1
"2119",41855,"PmwKGY3HLpcnC_-g0NCIvQ","Dino's Greek and Italian Grill","1550 N Dysart Rd","Goodyear","AZ","85395",33.4638256,-112.3418799,3.5,187,1,"Greek, Italian, Mediterranean, Nightlife, Bars, Restaurants","True","True",2,1,"True","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,1,0,0,0
"2120",41859,"nTc-Qj_-ABZrpM9YSpJ6jA","ChowKing","3890 S Maryland Pkwy","Las Vegas","NV","89119",36.1182191,-115.1357269,3,121,1,"Restaurants, Cantonese, Filipino, Fast Food, Asian Fusion, Chinese","True","False",4,1,"True","u'average'","True","1","False","True",1,"False","u'no'","u'none'","u'casual'","True","False","True",1,0,0,0,0,0,0
"2121",41874,"A5lD3y2eREchEdMcvWPXBA","Yin Ji Chang Fen","7010 Warden Avenue, Unit 17-18","Markham","ON","L3R 5Y3",43.8202802611,-79.325229535,4,233,1,"Chinese, Restaurants","True","False",4,0,"False","u'average'","True","1","False","True",1,"True","u'no'","u'none'","'casual'","True","False",NA,1,0,0,0,0,0,0
"2122",41883,"WkTjbYtLiZqK-jpce7Gtuw","Abyssinia Ethiopian Restaurant","4780 W Tropicana Ave, Ste 108","Las Vegas","NV","89103",36.1017505628,-115.2053383195,3.5,103,1,"Ethiopian, Restaurants","True","False",2,1,"True","u'quiet'","True","2","False","True",1,"True","'no'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2123",41885,"h1fOnj8ofEmKM7U9JdCcGw","Prince of India","3614 5th Ave","Pittsburgh","PA","15213",40.4416275024,-79.9585952759,3,105,1,"Indian, Food, Food Delivery Services, Restaurants","True","True",2,1,"True","u'quiet'","True","2","False","True",1,"True","u'no'","u'full_bar'","u'casual'","True","True","True",0,0,0,0,1,0,0
"2124",41910,"QJR4qBUHegWEozSQrGmBPw","Olives","3600 S Las Vegas Blvd","Las Vegas","NV","89109",36.113933,-115.174139,4,1783,0,"American (New), Bars, Nightlife, Italian, Mediterranean, Restaurants","True","True",1,1,"False","u'average'","True","3","True","False",1,"False","u'free'","'full_bar'","'dressy'","True","False","True",0,0,0,1,0,0,1
"2125",41916,"arpBUwgiaE8iqfNGMQ_hgg","Big Fat Burrito","285 Augusta Avenue","Toronto","ON","M5T 2M1",43.6560279,-79.4023885,3.5,136,1,"Mexican, Tex-Mex, Restaurants","True","False",2,1,"False","u'average'","True","1","False","True",1,"True","u'no'","u'none'","u'casual'","False","False",NA,0,0,1,0,0,0,0
"2126",41975,"cTPdZ9Va0HCLESf5gNnXwA","Lucille","101 King St","Madison","WI","53703",43.0745234172,-89.3815466467,4,258,1,"Nightlife, Burgers, Bars, Pizza, American (New), Lounges, Restaurants","False","True",4,1,"False","u'average'","True","2","False","True",3,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2127",42046,"10tJuB_YkVQWuk4PtoI7iA","Intermezzo Pizzeria and Cafe","1427 E 10th St","Charlotte","NC","28204",35.2221517,-80.821667,4,277,1,"Restaurants, Cafes, Pizza","True","True",1,1,"True","u'average'","True","2","True","True",1,"True","u'free'","'full_bar'","'casual'","True","True","True",0,0,0,0,0,0,0
"2128",42055,"dlpVK3a2Xfn6jtq5-soAfw","Ono Sushi","4161 S Eastern Ave, Ste A 1","Las Vegas","NV","89119",36.1130046,-115.1203612,4.5,126,1,"Asian Fusion, Restaurants, Japanese, Hawaiian, Sushi Bars, Ramen","True","True",3,1,NA,"'average'","True","2","False","True",2,"True","'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,1,0
"2129",42094,"gO_z_5FQVHLCiJjOsfE1fg","Via Brasil Steakhouse on South Fort Apache and Charleston","1225 S Fort Apache Rd, Ste 100","Las Vegas","NV","89117",36.1568983622,-115.2919117492,4,679,1,"Diners, Desserts, Steakhouses, Food, Restaurants, Seafood, Buffets, Beer, Wine & Spirits, Brazilian, Portuguese","True","True",1,2,"True","u'average'","True","3","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","True","True",0,0,0,0,0,0,0
"2130",42102,"vsFFbN71ehRCp46KeR5RdQ","Butterfield's Pancake House","7388 E Shea Blvd","Scottsdale","AZ","85260",33.5826876808,-111.9222626571,4.5,879,1,"Sandwiches, Breakfast & Brunch, Restaurants, American (Traditional)","True","False",2,1,"False","u'average'","True","2","False","True",1,"False","u'no'","'none'","'casual'","True","False","True",0,0,0,0,0,0,1
"2131",42103,"TM3UY0fCq0CQbuskoq0OWQ","Outback Steakhouse","7000 E Mayo Blvd, Ste 24","Phoenix","AZ","85054",33.6562553802,-111.9316076825,3,128,1,"Seafood, Restaurants, Soup, Steakhouses","True","True",1,1,"False","u'average'","True","2","False","True",1,"True","u'no'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2132",42106,"7J_8O6w79raFRSORc3bRew","AZ Pho & Grill","3140 S Gilbert Rd, Ste 1","Chandler","AZ","85286",33.2606712,-111.7903914,4,298,1,"Bubble Tea, Restaurants, Food, Vietnamese","True","True",2,1,"True","'average'","True","1","True","True",1,"True","'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2133",42126,"_H4GXECi4nHfJTz4dsQV_w","Rita's Burritos","4040 S Arizona Ave, Ste 17","Chandler","AZ","85248",33.2466365971,-111.8426811031,4.5,249,1,"Mexican, Restaurants","True","False",4,0,"False","'quiet'","True","1","True","True",1,"False","u'free'","u'none'","'casual'","False","False","True",0,0,1,0,0,0,0
"2134",42138,"cB7FhpOwFCn380G6WGpJzw","Golden Thai Restaurant","105 Church Street","Toronto","ON","M5C 2G3",43.6523454,-79.375276,3.5,197,1,"Restaurants, Thai","True","True",1,1,"False","u'average'","True","2","False","True",0,"False","'free'","u'full_bar'","u'casual'","True","False",NA,0,0,0,0,0,0,0
"2135",42154,"lKom12WnYEjH5FFemK3M1Q","Primanti Bros","46 18th St","Pittsburgh","PA","15222",40.4507064819,-79.9855880737,3.5,1234,1,"Sandwiches, Restaurants, Botanical Gardens, Sports Bars, Bars, Arts & Entertainment, Nightlife, American (New)","True","False",2,1,"False","u'loud'","True","1","False","True",2,"True","u'no'","u'beer_and_wine'","'casual'","True","False","True",0,0,0,0,0,0,1
"2136",42183,"cJWbbvGmyhFiBpG_5hf5LA","Hofbräuhaus Las Vegas","4510 Paradise Rd","Las Vegas","NV","89169",36.1077570331,-115.151691257,4,1566,1,"Food, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, German, Beer Garden, Beer Bar, Bars, Gluten-Free, Beer Gardens","True","True",2,2,"False","u'very_loud'","True","2","False","True",2,"True","u'free'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2137",42214,"RAh9WCQAuocM7hYM5_6tnw","The Cowfish Sushi Burger Bar","4310 Sharon Rd, Ste X05","Charlotte","NC","28211",35.1527248376,-80.827953314,4,1572,1,"Sushi Bars, Restaurants, Asian Fusion, Burgers","True","False",2,2,"True","u'average'","True","2","True","True",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2138",42235,"E4JyAzB5_2quptwtemyhYA","Original Breakfast House","13623 N 32nd St","Phoenix","AZ","85032",33.6108041847,-112.0128359656,4.5,1403,1,"Restaurants, Seafood, Breakfast & Brunch, Cafes, Burgers","True","False",3,1,"True","u'average'","True","2","False","True",1,"False","u'free'","u'none'","u'casual'","True","False","False",0,0,0,0,0,0,0
"2139",42245,"W9NUdpRX7gLXHLM2-NeKeA","SakeBomber Sushi & Grill","1705 E Broadway Rd","Tempe","AZ","85282",33.4071184,-111.9114942,4,287,1,"Bars, Cocktail Bars, Nightlife, Seafood, Sushi Bars, Japanese, Restaurants","False","True",1,1,"True","u'average'","True","2","False","True",1,"True","u'no'","u'full_bar'","'casual'","True","False","True",0,0,0,0,0,1,0
"2140",42270,"_8_XQHXPVwKuuklFgZ_5Lg","Black Bear Diner","2805 S Alma School Rd","Chandler","AZ","85286",33.2650382,-111.858023,3.5,149,1,"Diners, American (Traditional), Burgers, Breakfast & Brunch, Restaurants","True","False",4,0,"False","'average'","True","2","False","True",1,"False","'free'","'none'","'casual'","True","False","True",0,0,0,0,0,0,1
"2141",42275,"w4a6TuFWArSc29dB51rPNA","Bar Cento","1948 W 25th St","Cleveland","OH","44113",41.484856,-81.70406,3.5,274,1,"Bars, Food, American (New), Gastropubs, Lounges, Nightlife, Pizza, Restaurants, Beer, Wine & Spirits","False","True",2,1,"False","u'average'","True","2","True","True",1,"True","u'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,1
"2142",42289,"RhEvP5flF6KoPriMHmVYGg","Red Rock Casino Resort & Spa","11011 W Charleston Blvd","Las Vegas","NV","89135",36.1564126328,-115.3328468966,3.5,1676,1,"Hotels & Travel, Arts & Entertainment, Day Spas, Nightlife, Casinos, Restaurants, Hotels, Bars, Fast Food, Event Planning & Services, Beauty & Spas","True","True",NA,3,NA,NA,"False","2","True","True",NA,NA,"'free'","'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2143",42299,"Ey1iEY8yAQG5MEBZPQ_niQ","Fremont Hotel & Casino","200 Fremont St","Las Vegas","NV","89101",36.1710681,-115.145324,3,324,1,"Casinos, Event Planning & Services, Hotels & Travel, Restaurants, Hotels, Arts & Entertainment","False","True",NA,1,"False","u'average'","True","2","False",NA,2,"True","u'paid'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,0
"2144",42330,"0go_co5nVtlbu4HgUyUIOQ","Snooze, An A.M. Eatery","4901 E Ray Rd, Ste 120","Phoenix","AZ","85044",33.3193791,-111.9778294,4,240,1,"Restaurants, Breakfast & Brunch, Coffee & Tea, Food, Sandwiches","True","False",3,1,"False","'average'","True","2","True","True",3,"True","'free'","'full_bar'","'casual'","True","False","True",0,0,0,0,0,0,0
"2145",42357,"yA8S-hu3p6ihuymhtjNZHA","Café Zupas","7480 W Bell Rd, Ste 100","Glendale","AZ","85308",33.6396122212,-112.2199456954,3.5,157,1,"Soup, American (New), Sandwiches, Restaurants, Cafes","True","False",3,0,"True","u'average'","True","1","True","True",1,"False","'no'","u'none'","'casual'","True","False","True",0,0,0,0,0,0,1
"2146",42368,"Ymy91k8r312xvxzC42b5IQ","Top Gun  Burgers","251 Augusta Avenue","Toronto","ON","M5T 2L8",43.6550342,-79.4019624,4,136,1,"Sandwiches, Burgers, Restaurants, Cheesesteaks, American (Traditional), Comfort Food, Halal, Steakhouses","True","True",2,1,"False","'average'","True","2","True","True",1,"False","u'free'","u'none'","'casual'","True","False",NA,0,0,0,0,0,0,1
"2147",42387,"Y-S2LhHefBdnX8VP5Bh_JA","Citizens Kitchen and Bar","3950 Las Vegas Blvd S","Las Vegas","NV","89119",36.091726,-115.176646,3,1009,1,"American (New), Restaurants, Comfort Food, Steakhouses","True","False",3,2,"False","u'average'","True","2","False","False",1,"True","u'free'","u'full_bar'","u'casual'","True","False","True",0,0,0,0,0,0,1
"2148",42403,"RsREl3LkFGiwbt3kGIX4Eg","Honey Bear's BBQ","2824 N Central Ave","Phoenix","AZ","85004",33.479644,-112.0741615,3,311,1,"Restaurants, Barbeque, Soul Food","True","False",2,1,"True","u'average'","True","2","True","True",1,"True","u'no'","u'beer_and_wine'","'casual'","True","True","True",0,0,0,0,0,0,0
"2149",42409,"htQgj-ANQpZGpIpkkrEmyQ","Inspire Restaurant","144 Main Street Markham N, Unit 1","Markham","ON","L3P 5T3",43.8792378,-79.2614496,4,408,1,"French, Asian Fusion, Breakfast & Brunch, Restaurants, Salad, American (Traditional), Canadian (New)","True","True",3,2,"False","u'average'","True","2","False","False",1,"False","u'free'","'beer_and_wine'","'casual'","True","False","True",0,1,0,0,0,0,1
"2150",42418,"f-ookZOX4pBNldaOHMkJ4A","Hong Shing Chinese Restaurant","195 Dundas Street W","Toronto","ON","M5G 1C7",43.654987,-79.386932,3,144,1,"Food Delivery Services, Ethnic Food, Restaurants, Chinese, Specialty Food, Food","True","False",3,1,"True","u'average'","True","2","False","True",1,"True","u'free'","u'full_bar'","u'casual'","True","True",NA,1,0,0,0,0,0,0
